"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Female","Parks and Recreation Department","33","49.83","R","Active"
"Black or African American","Female","Finance and Administrative Service","63","48.31","R","Active"
"White","Female","Human Services","63","53.48","R","Active"
"White","Male","Parks and Recreation Department","45","55.19","R","Active"
"Asian","Male","Seattle Public Library","41","61.69","R","Active"
"Asian","Male","Seattle Fire Department","45","70.86","R","Active"
"Hispanic or Latino/a/x","Female","Construction and Inspections","39","66.50","R","Active"
"White","Male","Information Technology","63","87.38","R","Active"
"Not Specified","Male","Seattle City Light","57","63.19","R","Active"
"Black or African American","Female","Seattle Police Department","55","65.54","R","Active"
"Asian","Male","Seattle Police Department","45","60.51","R","Active"
"White","Male","Seattle Department of Transportation","29","67.35","R","Active"
"White","Male","Seattle City Light","44","77.36","R","Active"
"White","Male","Seattle Municipal Courts","53","34.94","R","Active"
"Two or More Races","Female","Construction and Inspections","43","78.57","R","Active"
"White","Male","Seattle Police Department","43","67.94","R","Active"
"Black or African American","Male","Construction and Inspections","42","78.76","R","Active"
"White","Male","Seattle Police Department","32","76.46","R","Active"
"White","Female","Seattle City Light","46","98.25","R","Active"
"White","Female","Office of Economic Development and Special Events Office","28","43.12","R","Active"
"White","Male","Seattle City Light","42","65.46","R","Active"
"White","Male","Seattle Fire Department","29","51.46","R","Active"
"Asian","Male","Seattle City Light","57","74.86","R","Active"
"White","Male","Parks and Recreation Department","37","55.19","R","Active"
"Not Specified","Male","Seattle City Light","39","77.36","R","Active"
"White","Male","Finance and Administrative Service","29","53.14","R","Active"
"Asian","Male","Information Technology","56","73.61","R","Leave with Pay"
"White","Male","Seattle City Light","41","73.49","R","Active"
"Two or More Races","Female","Seattle Police Department","34","76.82","R","Active"
"White","Male","Human Services","49","99.56","R","Active"
"Black or African American","Female","Parks and Recreation Department","34","26.92","T","Active"
"White","Male","Finance and Administrative Service","39","77.52","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","54","37.95","R","Active"
"Not Specified","Male","Parks and Recreation Department","32","48.07","R","Active"
"White","Male","Seattle Fire Department","51","58.15","R","Active"
"White","Female","Seattle Public Library","49","54.46","R","Active"
"Black or African American","Female","Seattle City Light","58","47.57","R","Active"
"Black or African American","Female","Construction and Inspections","40","53.14","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","30","60.75","R","Active"
"White","Female","Planning and Community Office","38","71.48","R","Active"
"Asian","Male","Community Safety and Communication Center","37","62.77","R","Active"
"Two or More Races","Male","Construction and Inspections","44","65.54","R","Active"
"White","Male","Seattle Public Utilities","58","84.24","R","Active"
"White","Female","Education and Early Learning","46","49.08","R","Active"
"White","Female","Law Department","53","89.95","R","Active"
"White","Female","Seattle Public Utilities","38","44.92","R","Leave with Pay"
"White","Male","Seattle Police Department","41","87.98","R","Active"
"Asian","Female","Neighborhoods","67","62.90","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Library","34","34.01","R","Active"
"Asian","Male","Seattle Fire Department","51","60.98","R","Active"
"White","Female","Seattle Fire Department","48","60.21","R","Active"
"Black or African American","Male","Parks and Recreation Department","60","46.05","R","Active"
"White","Male","Seattle Police Department","36","77.57","R","Active"
"White","Male","Seattle Public Utilities","40","56.23","T","Active"
"White","Female","Finance and Administrative Service","52","81.30","R","Active"
"Two or More Races","Male","Seattle Fire Department","32","41.16","R","Active"
"White","Male","Seattle Public Utilities","64","46.81","R","Active"
"White","Male","Seattle City Light","61","86.95","R","Active"
"Black or African American","Female","Seattle Public Library","52","54.46","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","31","51.45","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","43","45.29","R","Active"
"White","Male","Seattle Department of Transportation","37","94.12","R","Active"
"Asian","Male","Information Technology","53","79.08","R","Active"
"White","Male","Seattle Fire Department","53","55.06","R","Active"
"White","Male","Seattle Department of Transportation","40","51.24","R","Active"
"White","Male","Seattle Public Utilities","28","49.00","R","Active"
"White","Male","Human Resources","36","67.98","R","Active"
"Not Specified","Male","Seattle Public Utilities","32","44.52","R","Active"
"White","Male","Parks and Recreation Department","72","26.92","T","Active"
"White","Male","Seattle City Light","39","65.54","R","Active"
"Two or More Races","Male","Seattle Fire Department","34","51.46","R","Active"
"White","Male","Seattle Police Department","32","76.46","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","34","58.74","R","Active"
"White","Male","Seattle Public Utilities","45","93.08","R","Active"
"Black or African American","Male","Seattle Police Department","35","67.15","R","Active"
"Asian","Female","Seattle City Light","40","37.47","R","Active"
"White","Male","Seattle Police Department","43","87.98","R","Active"
"White","Female","Seattle Department of Transportation","53","53.14","R","Active"
"Two or More Races","Female","Parks and Recreation Department","20","26.92","T","Active"
"Black or African American","Male","Seattle Department of Transportation","33","70.35","R","Active"
"White","Male","Seattle Police Department","46","87.98","R","Active"
"Asian","Male","Seattle Police Department","39","77.57","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","39","39.24","R","Leave with Pay"
"White","Female","Seattle Police Department","55","65.54","R","Leave with Pay"
"White","Female","Seattle City Light","49","84.88","R","Active"
"White","Female","Seattle City Light","58","55.19","R","Active"
"Not Specified","Male","Seattle Public Utilities","43","87.31","R","Active"
"American Indian or Alaska Native","Male","Economic and Revenue Forecasts","27","61.14","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","59","68.05","R","Active"
"White","Female","Human Services","40","65.54","R","Active"
"White","Male","Parks and Recreation Department","55","80.37","R","Active"
"Two or More Races","Female","Seattle Public Library","36","40.88","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","55","83.50","R","Active"
"Asian","Female","Finance and Administrative Service","34","39.59","R","Active"
"White","Female","Seattle Police Department","55","78.30","R","Active"
"Black or African American","Female","Parks and Recreation Department","51","39.94","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","42","57.00","R","Active"
"White","Male","Construction and Inspections","54","78.76","R","Active"
"White","Male","Seattle City Light","50","77.36","R","Active"
"White","Male","Seattle City Light","56","106.94","R","Active"
"White","Female","Human Services","30","47.77","R","Active"
"Two or More Races","Female","Seattle Public Utilities","51","70.35","R","Active"
"White","Non-Specified","Seattle Public Library","34","54.46","R","Active"
"Asian","Male","Planning and Community Office","37","67.38","R","Active"
"Black or African American","Female","Seattle Police Department","41","65.54","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","53","53.88","R","Active"
"White","Female","Neighborhoods","50","74.60","R","Active"
"White","Female","Human Services","29","58.95","R","Active"
"White","Male","Seattle Public Utilities","34","76.34","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","46","42.95","R","Active"
"White","Female","Community Safety and Communication Center","26","44.49","R","Active"
"White","Female","Neighborhoods","41","55.19","R","Leave with Pay"
"White","Male","Seattle Police Department","50","55.61","R","Active"
"Asian","Male","Seattle Public Utilities","44","55.19","R","Active"
"White","Female","Seattle Department of Transportation","32","55.15","R","Active"
"White","Male","Seattle Public Utilities","59","94.12","R","Active"
"White","Female","Seattle Department of Transportation","61","40.62","R","Active"
"White","Male","Seattle City Light","56","59.16","R","Active"
"White","Female","Housing Office","41","65.54","R","Active"
"White","Male","Seattle Public Utilities","37","70.89","R","Active"
"Asian","Female","Parks and Recreation Department","40","72.14","R","Active"
"White","Male","Seattle City Light","37","107.51","R","Active"
"American Indian or Alaska Native","Male","Seattle Center","58","37.95","R","Active"
"Asian","Male","Information Technology","43","86.52","R","Active"
"Black or African American","Male","Seattle Police Department","47","78.30","R","Active"
"White","Male","Information Technology","34","74.79","R","Active"
"White","Female","Seattle Fire Department","32","44.51","R","Active"
"Black or African American","Male","Seattle City Light","59","77.36","R","Active"
"White","Female","Seattle City Light","69","70.35","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","51","87.02","R","Leave with Pay"
"Not Specified","Male","Seattle City Light","54","70.35","R","Active"
"White","Female","Finance and Administrative Service","37","62.90","R","Active"
"White","Male","Seattle Fire Department","34","62.54","R","Active"
"White","Male","Seattle Fire Department","34","59.56","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","56","37.95","R","Active"
"White","Male","Seattle City Light","47","87.02","R","Active"
"Asian","Female","Neighborhoods","50","57.31","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","54","78.30","R","Active"
"Black or African American","Male","Seattle Fire Department","47","82.04","R","Active"
"Black or African American","Male","Seattle Public Utilities","48","67.89","R","Active"
"Asian","Female","Construction and Inspections","34","44.64","R","Active"
