"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Male","Seattle City Light","47","55.56","R","Active"
"Black or African American","Female","Seattle Municipal Courts","34","43.93","R","Active"
"White","Female","Seattle Fire Department","35","59.56","R","Active"
"Asian","Female","Parks and Recreation Department","28","33.95","R","Active"
"Asian","Female","Seattle Public Library","37","31.36","R","Leave with Pay"
"White","Male","Seattle Public Library","70","47.24","R","Active"
"Asian","Male","Parks and Recreation Department","48","37.95","R","Active"
"Asian","Male","Seattle City Light","41","103.22","R","Active"
"Black or African American","Female","Seattle City Light","45","40.46","R","Active"
"Asian","Female","Finance and Administrative Service","27","49.51","R","Active"
"Asian","Male","Seattle City Light","50","38.70","R","Active"
"Asian","Male","Parks and Recreation Department","20","26.92","T","Active"
"Asian","Male","Seattle City Light","22","29.46","T","Active"
"White","Male","Seattle Center","67","26.92","T","Active"
"White","Male","Parks and Recreation Department","26","26.92","T","Active"
"Asian","Male","Parks and Recreation Department","42","33.98","R","Active"
"White","Male","Finance and Administrative Service","68","55.56","R","Leave with Pay"
"White","Male","Parks and Recreation Department","49","42.50","R","Active"
"Asian","Male","Parks and Recreation Department","69","34.32","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","64","74.98","R","Active"
"White","Female","Seattle Department of Transportation","56","92.84","R","Active"
"Asian","Female","Law Department","36","74.93","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","47","68.03","R","Active"
"White","Male","Parks and Recreation Department","62","51.12","R","Active"
"Asian","Female","Seattle Department of Transportation","23","44.63","T","Active"
"Asian","Female","Human Services","57","57.11","R","Active"
"Not Specified","Female","Law Department","22","22.56","T","Active"
"Not Specified","Female","Parks and Recreation Department","57","26.92","T","Active"
"Asian","Female","Seattle Department of Transportation","47","70.35","R","Leave with Pay"
"Asian","Female","Seattle Public Utilities","62","34.62","R","Active"
"Two or More Races","Female","Seattle Police Department","24","42.85","R","Active"
"Asian","Male","Seattle City Light","70","51.90","R","Active"
"Two or More Races","Female","Seattle Public Utilities","47","60.75","R","Active"
"White","Male","Planning and Community Office","39","65.54","R","Active"
"Asian","Female","Seattle Department of Transportation","50","63.19","R","Active"
"Not Specified","Male","Seattle Department of Transportation","55","48.87","R","Leave with Pay"
"Asian","Male","Seattle City Light","48","101.38","R","Active"
"Not Specified","Male","Seattle Department of Transportation","54","43.87","R","Active"
"White","Female","Community Safety and Communication Center","31","46.21","R","Active"
"Asian","Female","Seattle Public Library","32","38.96","R","Active"
"White","Male","Seattle Public Utilities","32","61.48","R","Active"
"White","Male","Seattle Fire Department","41","59.18","R","Active"
"White","Male","Information Technology","63","74.93","R","Active"
"White","Female","Seattle Public Utilities","70","41.31","R","Active"
"White","Male","Finance and Administrative Service","44","76.00","R","Leave with Pay"
"Asian","Male","Seattle City Light","32","71.37","R","Active"
"White","Female","Seattle Police Department","48","44.51","R","Leave with Pay"
"White","Male","Parks and Recreation Department","56","70.80","R","Active"
"White","Male","Seattle Police Department","32","76.46","R","Active"
"White","Male","Seattle City Light","54","44.52","R","Active"
"Two or More Races","Female","Seattle City Light","28","22.48","R","Active"
"White","Female","Seattle Public Utilities","51","53.14","R","Active"
"White","Female","Sustainability and Environment","42","77.58","R","Active"
"Black or African American","Male","Parks and Recreation Department","22","26.92","T","Active"
"White","Male","Seattle City Light","46","87.02","R","Active"
"White","Male","Finance and Administrative Service","38","69.28","R","Active"
"Asian","Female","Office of Arts and Culture","54","50.33","R","Active"
"White","Female","Seattle Public Library","51","54.46","R","Active"
"White","Female","Seattle Police Department","27","75.35","R","Active"
"White","Male","Seattle Police Department","61","76.46","R","Active"
"White","Male","Seattle Fire Department","48","57.64","R","Active"
"White","Male","Seattle Fire Department","54","55.06","R","Active"
"White","Female","Parks and Recreation Department","20","34.08","T","Active"
"White","Male","Seattle Police Department","57","150.43","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","34","37.95","R","Active"
"White","Male","Parks and Recreation Department","65","105.71","R","Active"
"White","Male","Construction and Inspections","52","76.02","R","Active"
"White","Female","Seattle City Light","56","43.09","R","Active"
